"ロボットコード","動態保存","復刻","メモ"
"101220801","true","false","2017年に乾電池では動かない仕様でニコニコ超会議に出展。"
"102331401","false","false",""
"102331801","false","false",""
"102443001","false","false",""
"102553701","false","false","動態/静態不明"
"102664801","true","false",""
"102885901","false","false",""
"103221001","false","false",""
"103331801","false","false",""
"103664601","true","false",""
"104221001","false","false",""
"104664601","true","false",""
"105886201","true","false",""
"106442702","false","false",""
"106443102","false","false",""
"106553701","false","false","動態/静態不明"
"106886101","false","false","足回りのみ。"
"107331402","false","false","部品のみ。"
"107331601","true","false",""
"107331801","false","false",""
"107442401","false","false",""
"107553701","true","false",""
"107553801","false","false",""
"107886101","false","false","ディスク収納部のみ。"
"108331702","true","false",""
"108331802","false","false",""
"108442402","false","false",""
"108553701","false","false","動態/静態不明"
"108664201","false","false",""
"108775201","false","false",""
"108886201","true","false",""
"109553601","false","false",""
"109664601","true","false",""
"109664801","true","false",""
"110442401","false","false",""
"111110101","true","false",""
"111331702","false","false",""
"111331801","false","false",""
"111442401","false","false",""
"111443101","false","false",""
"111664402","false","false",""
"111885902","false","false","生命のみ。"
"112331801","false","false",""
"112553701","false","false","動態/静態不明"
"112664401","false","false",""
"112664601","true","false",""
"113664201","false","false",""
"113664401","false","false",""
"113664402","false","false",""
"113664602","false","false",""
"114221001","false","false",""
"114332302","false","false",""
"114442401","false","false",""
"114664401","false","false",""
"114664802","true","false",""
"115331702","true","false",""
"115332302","false","false",""
"115442401","false","false",""
"115664602","false","false",""
"115775202","false","false",""
"115885501","false","false",""
"115885502","true","false",""
"116110101","true","false",""
"116221001","false","false",""
"116331601","true","false",""
"116331602","true","false",""
"116331801","false","false",""
"116442401","false","false",""
"116442402","false","false",""
"116664402","false","false",""
"116664602","true","false",""
"116664702","false","false",""
"116885902","false","false",""
"117331602","false","false","部品のみ。"
"117331802","false","false",""
"117442401","false","false",""
"117443102","false","false",""
"117664401","false","false",""
"117664602","false","false",""
"117664701","false","false",""
"118221002","false","false",""
"118331502","true","false",""
"118331602","false","false",""
"118331701","true","false",""
"118331901","true","false","動作不可箇所あり。自動走行は不可能。"
"118332302","false","false",""
"118442401","false","false",""
"118442402","false","false",""
"118553402","false","false",""
"118553601","false","false","動態/静態不明"
"118664401","false","false",""
"118885701","true","false",""
"119110201","false","false",""
"119331401","false","false",""
"119331601","false","false",""
"119332302","false","false",""
"119442402","false","false",""
"119554001","false","false","動態/静態不明"
"119664401","false","false",""
"119664601","false","false",""
"120331401","true","false",""
"120331402","true","false","動作不可箇所あり。"
"120331502","false","false",""
"120331601","false","false",""
"120331801","false","false",""
"120332102","false","false",""
"120332301","false","false",""
"120332302","false","false",""
"120442701","true","false",""
"120554001","false","false","動態/静態不明"
"120664602","false","false",""
"120885902","false","false",""
"121221001","false","false",""
"121331601","false","false",""
"121331702","true","false",""
"121442401","false","false",""
"121664602","true","false",""
"121775301","true","false",""
"122220802","false","false",""
"122331401","false","false",""
"122331502","true","false","カブトムシのみ保存"
"122331601","false","false",""
"122331602","false","false",""
"122442401","false","false",""
"122443102","false","false",""
"122553402","false","false",""
"122553502","false","false",""
"122664401","false","false",""
"122664501","true","false",""
"122664602","false","false",""
"122886101","false","false","四足歩行ロボットのみ。"
"122886201","false","false",""
"123331401","false","false",""
"123331402","true","false",""
"123331601","false","false",""
"123331602","false","false",""
"123331802","false","false",""
"123442402","false","false",""
"123442601","true","false",""
"123553401","false","false",""
"123554001","true","false",""
"123664502","false","false",""
"123664802","true","false",""
"123775401","false","false",""
"123775402","false","false",""
"123885702","true","false",""
"123886101","false","false",""
"123886102","false","true","研究用として改良されている。"
"123886301","false","false",""
"124221202","false","false",""
"124331401","true","false",""
"124331601","false","false","部品のみ。"
"124331702","true","false",""
"124332301","true","false","動作不可箇所あり。"
"124442401","false","false",""
"124442702","true","false",""
"124443102","false","false",""
"124775402","true","false",""
"124886102","false","false","部品のみ。"
"125220801","true","false",""
"125331401","true","false",""
"125331402","true","false",""
"125331602","false","false",""
"125331701","true","false",""
"125331801","false","false",""
"125332102","false","false",""
"125332301","true","false","動作不可箇所あり。"
"125332302","false","false","部品のみ。"
"125443301","false","false",""
"125553501","false","false",""
"125554002","true","false",""
"125664601","true","false",""
"125775001","false","false",""
"125775002","false","false",""
"125775301","true","false",""
"125775401","true","false",""
"125775402","true","false",""
"125886101","false","false",""
"125886102","false","false","外装の一部のみ。"
"125886202","true","false",""
"126331401","true","false","動作不可箇所あり。"
"126331402","true","false","動作不可箇所あり。"
"126331601","true","false","動作不可箇所あり。"
"126331602","true","false","動作不可箇所あり。"
"126331701","true","false",""
"126331801","false","false",""
"126332301","true","false","動作不可箇所あり。"
"126332302","true","false","動作不可箇所あり。"
"126442401","false","false",""
"126553801","false","false",""
"126554001","false","false","動態/静態不明"
"126664601","true","false",""
"126664702","true","false",""
"126664801","true","false","動作不可箇所あり。"
"126775001","false","false",""
"126775002","false","false",""
"126775302","true","false",""
"126775402","true","false",""
"126885702","true","false",""
"126886101","false","false","外装の一部のみ。"
"126886201","false","false",""
"127110101","true","false",""
"127221001","false","false",""
"127221201","true","false",""
"127331401","true","false",""
"127331402","true","false",""
"127331501","false","false",""
"127331502","false","false",""
"127331601","false","false","部品のみ。"
"127331602","false","false",""
"127331702","true","false",""
"127331902","false","false",""
"127332001","false","false",""
"127332101","false","false",""
"127332301","true","false","動作不可箇所あり。"
"127332302","true","false","動作不可箇所あり。"
"127442401","false","false",""
"127442701","true","false",""
"127442702","true","false",""
"127443301","false","false","部品のみ。"
"127553401","false","false",""
"127553701","false","false",""
"127554001","true","false",""
"127664502","false","false",""
"127664701","false","false",""
"127664801","true","false","動作不可箇所あり。"
"127775001","false","false",""
"127775401","true","false",""
"127885701","false","false",""
"127885702","false","false",""
"127886101","false","false",""
"127886102","false","false","外装の一部のみ。"
"127886401","true","false","動作不可箇所あり。"
"128220802","true","false",""
"128331401","true","false",""
"128331402","true","false",""
"128331601","false","false",""
"128331602","true","false",""
"128331702","true","false",""
"128331801","false","false",""
"128331901","false","false",""
"128331902","false","false",""
"128332001","false","false",""
"128332002","false","false",""
"128332301","true","false","動作不可箇所あり。"
"128332302","true","false","動作不可箇所あり。 "
"128442401","false","false",""
"128442501","false","false",""
"128442502","false","false",""
"128442701","true","false",""
"128442702","true","false",""
"128442801","true","false",""
"128442802","true","false",""
"128443301","true","false",""
"128553402","true","false",""
"128553601","false","false",""
"128553801","true","false",""
"128554001","true","false",""
"128664201","false","false",""
"128664501","true","false",""
"128664601","true","false",""
"128664701","true","false",""
"128664801","true","false",""
"128775001","false","false",""
"128775201","false","false",""
"128775202","false","false",""
"128775301","true","false",""
"128775302","true","false",""
"128885701","false","false",""
"128885702","true","false",""
"128886001","true","false",""
"128886101","false","false",""
"128886201","true","false",""
"128886202","true","false",""
"128886301","true","false",""
"128886302","true","false",""
"128886401","true","false",""
"129331702","false","false","動態/静態不明"
"129886101","false","false","部品のみ。"
"129886102","false","false","部品のみ。"
